task,category,required_count,task_local_count,exact_match,required_skills,task_local_skill_dirs
3d-scan-calc,industrial-physical-systems,0,1,False,,mesh-analysis
ada-bathroom-plan-repair,industrial-physical-systems,0,3,False,,ada-plan-view-accessibility;architectural-dxf-extraction;geometric-layout-repair
adaptive-cruise-control,industrial-physical-systems,0,5,False,,csv-processing;pid-controller;simulation-metrics;vehicle-dynamics;yaml-config
azure-bgp-oscillation-route-leak,software-engineering,0,1,False,,azure-bgp
bike-rebalance,mathematics-or-formal-reasoning,0,4,False,,geospatial-routing-data;logistics-rules-to-optimization;routing-subtour-elimination;scip-opt
citation-check,office-white-collar,0,1,False,,citation-management
civ6-adjacency-optimizer,mathematics-or-formal-reasoning,0,4,False,,civ6lib;hex-grid-spatial;map-optimization-strategy;sqlite-map-parser
court-form-filling,office-white-collar,0,1,False,,pdf
crystallographic-wyckoff-position-analysis,natural-science,0,2,False,,pymatgen;sympy
dapt-intrusion-detection,cybersecurity,0,2,False,,pcap-analysis;threat-detection
data-to-d3,software-engineering,0,1,False,,d3-visualization
debug-trl-grpo,software-engineering,0,3,False,,grpo;rl-post-training;trl
dialogue-parser,software-engineering,0,1,False,,dialogue-graph
drone-planning-control,industrial-physical-systems,0,6,False,,attitude-controller-planner;flight-plan-parser;motor-model-dynamics;plot-quadrotor;position-controller-trajectory-planner;stepinfo-3d
dynamic-object-aware-egomotion,industrial-physical-systems,0,4,False,,dyn-object-masks;egomotion-estimation;output-validation;sampling-and-indexing
earthquake-phase-association,natural-science,0,4,False,,gamma-phase-associator;obspy-data-api;seisbench-model-api;seismic-picker-selection
earthquake-plate-calculation,natural-science,0,1,False,,geospatial-analysis
econ-detrending-correlation,finance-economics,0,1,False,,timeseries-detrending
edit-pdf,office-white-collar,0,2,False,,pdf-editing;text-parser
energy-ac-optimal-power-flow,industrial-physical-systems,0,3,False,,ac-branch-pi-model;casadi-ipopt-nlp;power-flow-data
energy-market-pricing,industrial-physical-systems,0,4,False,,dc-power-flow;economic-dispatch;locational-marginal-prices;power-flow-data
energy-unit-commitment,industrial-physical-systems,3,3,True,milp-solver-workflow;unit-commitment-data-modeling;unit-commitment-operating-rules,milp-solver-workflow;unit-commitment-data-modeling;unit-commitment-operating-rules
enterprise-information-search,office-white-collar,0,1,False,,enterprise-artifact-search
exam-block-sequencing,mathematics-or-formal-reasoning,2,2,True,mip-solver-and-solution-audit;ordered-window-sequencing-mip,mip-solver-and-solution-audit;ordered-window-sequencing-mip
exceltable-in-ppt,office-white-collar,0,2,False,,pptx;xlsx
exoplanet-detection-period,natural-science,0,5,False,,box-least-squares;exoplanet-workflows;light-curve-preprocessing;lomb-scargle-periodogram;transit-least-squares
financial-modeling-qa,finance-economics,0,2,False,,pdf;xlsx
fix-build-agentops,software-engineering,0,4,False,,analyze-ci;temporal-python-testing;testing-python;uv-package-manager
fix-build-google-auto,software-engineering,0,3,False,,maven-build-lifecycle;maven-dependency-management;maven-plugin-configuration
fix-druid-loophole-cve,cybersecurity,0,2,False,,jackson-security;senior-java
fix-erlang-ssh-cve,cybersecurity,0,6,False,,erlang-concurrency;erlang-distribution;erlang-otp-behaviors;find-bugs;senior-security;ssh-penetration-testing
fix-visual-stability,software-engineering,3,3,True,browser-testing;react-best-practices;web-interface-guidelines,browser-testing;react-best-practices;web-interface-guidelines
flink-query,software-engineering,0,2,False,,pdf;senior-data-engineer
flood-risk-analysis,natural-science,0,3,False,,flood-detection;nws-flood-thresholds;usgs-data-download
glm-lake-mendota,natural-science,0,3,False,,glm-basics;glm-calibration;glm-output
gravitational-wave-detection,natural-science,0,2,False,,conditioning;matched-filtering
grid-dispatch-operator,industrial-physical-systems,0,3,False,,dc-power-flow;economic-dispatch;power-flow-data
hvac-control,industrial-physical-systems,0,5,False,,excitation-signal-design;first-order-model-fitting;imc-tuning-rules;safety-interlocks;scipy-curve-fit
invoice-fraud-detection,finance-economics,0,3,False,,fuzzy-match;pdf;xlsx
jax-computing-basics,software-engineering,0,1,False,,jax-skills
jpg-ocr-stat,office-white-collar,0,5,False,,image-ocr;openai-vision;pdf;video-frame-extraction;xlsx
lab-unit-harmonization,natural-science,0,1,False,,lab-unit-harmonization
lake-warming-attribution,natural-science,0,4,False,,contribution-analysis;meteorology-driver-classification;pca-decomposition;trend-analysis
